,SOURCE,TARGET,VOTE,RESULT
134,Anthony Bradbury,BDD,0,1
135,Faizan Al-Badri,BDD,0,1
136,Stfg,BDD,0,1
137,Dennis Brown,Bilby,1,1
138,PumpkinSky,Bilby,1,1
139,SmokeyJoe,Bilby,1,1
140,The Potato Hose,Bilby,1,1
141,AutomaticStrikeout,Bilby,1,1
142,I am One of Many,Bilby,1,1
143,Hawkeye7,Bilby,1,1
144,Go Phightins!,Bilby,1,1
145,Wizardman,Bilby,1,1
146,Kudpung,Bilby,1,1
147,Miniapolis,Bilby,1,1
148,SlimVirgin,Bilby,1,1
149,MER-C,Bilby,1,1
150,Carrite,Bilby,1,1
151,Graham87,Bilby,1,1
152,TCN7JM,Bilby,1,1
153,Promethean,Bilby,1,1
154,Ankit Maity,Bilby,1,1
155,Stalwart111,Bilby,1,1
156,Rzuwig,Bilby,1,1
157,Faizan,Bilby,1,1
158,Garion96,Bilby,1,1
159,Tom Morris,Bilby,1,1
160,Ymblanter,Bilby,1,1
161,Widr,Bilby,1,1
162,Wangxuan8331800,Bilby,1,1
163,Gobonobo,Bilby,1,1
164,Boing! said Zebedee,Bilby,1,1
165,BOZ,Bilby,1,1
166,SatuSuro,Bilby,1,1
167,Diannaa,Bilby,1,1
168,Joe Decker,Bilby,1,1
169,Peridon,Bilby,1,1
170,Stfg,Bilby,1,1
171,Themfromspace,Bilby,1,1
172,069952497a,Bilby,1,1
173,LlamaAl,Bilby,1,1
174,Bbb23,Bilby,1,1
175,JennKR,Bilby,1,1
176,Deb,Bilby,1,1
177,Tryptofish,Bilby,1,1
178,CaSJer,Bilby,1,1
179,Mkdw,Bilby,1,1
180,Newyorkbrad,Bilby,1,1
181,Kierzek,Bilby,1,1
182,Begoon,Bilby,1,1
183,INeverCry,Bilby,1,1
184,Jusdafax,Bilby,1,1
185,Hughesdarren,Bilby,1,1
186,Salvio giuliano,Bilby,1,1
187,MelbourneStar,Bilby,1,1
188,SilkTork,Bilby,1,1
189,Riana,Bilby,1,1
190,IRWolfie-,Bilby,1,1
191,Tolly4bolly,Bilby,1,1
192,My76Strat,Bilby,1,1
193,Pratyya Ghosh,Bilby,1,1
194,KumiokoCleanStart,Bilby,1,1
195,Laurinavicius,Bilby,1,1
196,Ponyo,Bilby,1,1
197,The Utahraptor,Bilby,1,1
198,Theonesean,Bilby,1,1
199,MisterGugaruz,Bilby,1,1
200,Hahc21,Bilby,1,1
201,Mohamed CJ,Bilby,1,1
202,Jschnur,Bilby,1,1
203,Ronhjones,Bilby,1,1
204,Reaper Eternal,Bilby,1,1
205,EdJohnston,Bilby,1,1
206,Kurtis,Bilby,1,1
207,Ignatzmice,Bilby,1,1
208,Dwaipayanc,Bilby,1,1
209,Huon,Bilby,1,1
210,Gnangarra,Bilby,1,1
211,Melburnian,Bilby,1,1
212,Jafeluv,Bilby,1,1
213,Kiefer.Wolfowitz,Bilby,1,1
214,Lectonar,Bilby,1,1
215,Bobrayner,Bilby,1,1
216,Pharaoh of the Wizards,Bilby,1,1
217,Thine Antique Pen,Bilby,1,1
218,Moondyne,Bilby,1,1
219,Mr. Stradivarius,Bilby,1,1
220,MrX,Bilby,1,1
221,WorldTraveller101,Bilby,1,1
222,RightCowLeftCoast,Bilby,1,1
223,Dainomite,Bilby,1,1
224,Stephen,Bilby,1,1
225,ZappaOMati,Bilby,1,1
226,NintendoFan,Bilby,1,1
227,DGG,Bilby,1,1
228,NorthBySouthBaranof,Bilby,1,1
229,Cullen328,Bilby,1,1
230,Mabdul,Bilby,1,1
231,Northamerica1000,Bilby,1,1
232,Jebus989,Bilby,1,1
233,GiantSnowman,Bilby,1,1
234,OlEnglish,Bilby,1,1
235,SarahStierch,Bilby,1,1
236,Armbrust,Bilby,1,1
237,Sphilbrick,Bilby,1,1
238,Adjwilley,Bilby,1,1
239,JayJay,Bilby,1,1
240,Scray,Bilby,1,1
241,Trusilver,Bilby,1,1
242,Bearian,Bilby,1,1
243,Inks.LWC,Bilby,1,1
244,Someguy1221,Bilby,1,1
245,Herostratus,Bilby,1,1
246,Bahudhara,Bilby,1,1
247,Nick-D,Bilby,1,1
248,Dan arndt,Bilby,1,1
249,King of Hearts,Bilby,1,1
250,99of9,Bilby,1,1
251,Nathan Johnson,Bilby,1,1
252,Monterey Bay,Bilby,1,1
253,Intothatdarkness,Bilby,1,1
254,Lankiveil,Bilby,1,1
255,RegentsPark,Bilby,1,1
256,Aircorn,Bilby,1,1
257,Tyrol5,Bilby,1,1
258,Bluerasberry,Bilby,1,1
259,Webclient101,Bilby,1,1
260,Spencer,Bilby,1,1
261,Technical 13,Bilby,1,1
262,Doctree,Bilby,1,1
263,Tucoxn,Bilby,1,1
264,Rogerd,Bilby,1,1
265,Gilderien,Bilby,1,1
266,Marek69,Bilby,1,1
267,MONGO,Bilby,1,1
268,Paul Erik,Bilby,1,1
269,Daniel,Bilby,1,1
270,Ret.Prof,Bilby,1,1
271,Colonel Warden,Bilby,-1,1
272,Liangshan Yi,Bilby,-1,1
273,Axl,Bilby,0,1
274,John F. Lewis,Darkwind,1,1
275,Kablammo,Darkwind,1,1
276,Mabdul,Darkwind,1,1
277,Reaper Eternal,Darkwind,1,1
278,Torreslfchero,Darkwind,1,1
279,LuK3,Darkwind,1,1
280,Greengreengreenred,Darkwind,1,1
281,Thine Antique Pen,Darkwind,1,1
282,GabeMc,Darkwind,1,1
283,INeverCry,Darkwind,1,1
284,Ajraddatz,Darkwind,1,1
285,X!,Darkwind,1,1
286,Kaldari,Darkwind,1,1
287,Ktr101,Darkwind,1,1
288,Seraphimblade,Darkwind,1,1
289,RP459,Darkwind,1,1
290,Bluerasberry,Darkwind,1,1
291,Danger,Darkwind,1,1
292,Nyttend,Darkwind,1,1
293,Nouniquenames,Darkwind,1,1
294,Thomas85753,Darkwind,1,1
295,Jusdafax,Darkwind,1,1
296,Peridon,Darkwind,1,1
297,Jprg1966,Darkwind,1,1
298,Shrigley,Darkwind,1,1
299,The ed17,Darkwind,1,1
300,Filelakeshoe,Darkwind,1,1
301,LlamaAl,Darkwind,1,1
302,NawlinWiki,Darkwind,1,1
303,BuickCenturyDriver,Darkwind,1,1
304,Webclient101,Darkwind,1,1
305,Miniapolis,Darkwind,1,1
306,Hahc21,Darkwind,1,1
307,Carrite,Darkwind,1,1
308,WereSpielChequers,Darkwind,1,1
309,Hydriz,Darkwind,1,1
310,Audacity,Darkwind,1,1
311,GiantSnowman,Darkwind,1,1
312,Scott MacDonald,Darkwind,1,1
313,WilyD,Darkwind,1,1
314,Secret,Darkwind,1,1
315,Wizardman,Darkwind,1,1
316,Tryptofish,Darkwind,1,1
317,Scottywong,Darkwind,1,1
318,TParis,Darkwind,1,1
319,KTC,Darkwind,1,1
320,Kraxler,Darkwind,1,1
321,DCI2026,Darkwind,1,1
322,Carnildo,Darkwind,1,1
323,Newyorkbrad,Darkwind,1,1
324,Lord Roem,Darkwind,1,1
325,Alanscottwalker,Darkwind,1,1
326,Spencer.mccormick,Darkwind,1,1
327,Kurtis,Darkwind,1,1
328,Techman224,Darkwind,1,1
329,Rschen7754,Darkwind,1,1
330,Joe Decker,Darkwind,1,1
331,Ianlopez12,Darkwind,1,1
332,Ret.Prof,Darkwind,1,1
333,Shawn in Montreal,Darkwind,1,1
334,Solarusdude,Darkwind,1,1
335,Mifter,Darkwind,1,1
336,Ace of Spades,Darkwind,1,1
337,Spencer,Darkwind,1,1
338,Themfromspace,Darkwind,1,1
339,Pichpich,Darkwind,1,1
340,Doctree,Darkwind,1,1
341,Status,Darkwind,1,1
342,Mr. Stradivarius,Darkwind,1,1
343,Stalwart111,Darkwind,1,1
344,SmokeyJoe,Darkwind,1,1
345,Snowolf,Darkwind,1,1
346,Trevj,Darkwind,1,1
347,MelanieN,Darkwind,1,1
348,Sue Rangell,Darkwind,1,1
349,Inks.LWC,Darkwind,1,1
350,Tazerdadog,Darkwind,1,1
351,Foxj,Darkwind,1,1
352,NuclearWarfare,Darkwind,1,1
353,A7x,Darkwind,1,1
354,Parsecboy,Darkwind,1,1
355,Cmach7,Darkwind,1,1
356,RayAYang,Darkwind,1,1
357,Dank,Darkwind,1,1
358,Malcolmxl5,Darkwind,1,1
359,Garamond Lethe,Darkwind,1,1
360,MONGO,Darkwind,1,1
361,Keepscases,Darkwind,1,1
362,Hut 8.5,Darkwind,1,1
363,C678,Darkwind,1,1
364,WikiPuppies,Darkwind,1,1
365,Gobonobo,Darkwind,1,1
366,Uncle Milty,Darkwind,1,1
367,7,Darkwind,1,1
368,Athaenara,Darkwind,1,1
369,Rich Farmbrough,Darkwind,1,1
370,Scray,Darkwind,1,1
371,UnbelievableError,Darkwind,1,1
372,Demiurge1000,Darkwind,1,1
373,Yash!,Darkwind,1,1
374,Kiefer.Wolfowitz,Darkwind,1,1
375,Brookie,Darkwind,1,1
376,Kumioko,Darkwind,1,1
377,Guðsþegn,Darkwind,1,1
378,Rogerd,Darkwind,1,1
379,Rzuwig,Darkwind,1,1
380,Gilderien,Darkwind,1,1
381,Garion96,Darkwind,1,1
382,Diesel-50,Darkwind,-1,1
383,Dennis Brown,Darkwind,-1,1
384,Townlake,Darkwind,-1,1
385,John,Darkwind,-1,1
386,Bwilkins,Darkwind,-1,1
387,Colonel Warden,Darkwind,-1,1
388,AutomaticStrikeout,Darkwind,-1,1
389,Intothatdarkness,Darkwind,-1,1
390,Theopolisme,Darkwind,-1,1
391,Axl,Darkwind,-1,1
392,Slon02,Darkwind,-1,1
393,Andrewman327,Darkwind,-1,1
394,My76Strat,Darkwind,-1,1
395,Bishonen,Darkwind,-1,1
396,Boing! said Zebedee,Darkwind,-1,1
397,Pol430,Darkwind,-1,1
398,Go Phightins!,Darkwind,-1,1
399,Amadscientist,Darkwind,-1,1
400,MrX,Darkwind,-1,1
401,Nikkimaria,Darkwind,-1,1
402,Shadowjams,Darkwind,-1,1
403,gwickwire,Darkwind,-1,1
404,Richwales,Darkwind,-1,1
405,Espresso Addict,Darkwind,-1,1
406,Cailil,Darkwind,-1,1
407,Ihardlythinkso,Darkwind,-1,1
408,AndyTheGrump,Darkwind,-1,1
409,Modernist,Darkwind,-1,1
410,OrenBochman,Darkwind,-1,1
411,DeltaQuad,Darkwind,-1,1
412,The-Pope,Darkwind,0,1
413,Graeme Bartlett,Darkwind,0,1
414,Someguy1221,Darkwind,0,1
415,Kudpung,Darkwind,0,1
416,The Anonymouse,Darkwind,0,1
417,Tiggerjay,Darkwind,0,1
418,JayJay,Darkwind,0,1
419,LindsayH,Darkwind,0,1
420,Titodutta,INeverCry,1,1
421,Rschen7754,INeverCry,1,1
422,Morning Sunshine,INeverCry,1,1
423,Kiefer.Wolfowitz,INeverCry,1,1
424,Torreslfchero,INeverCry,1,1
425,BuickCenturyDriver,INeverCry,1,1
426,Brookie,INeverCry,1,1
427,LlamaAl,INeverCry,1,1
428,Dennis Brown,INeverCry,1,1
429,Ymblanter,INeverCry,1,1
430,Hahc21,INeverCry,1,1
431,Jebus989,INeverCry,1,1
432,Filelakeshoe,INeverCry,1,1
433,Cirt,INeverCry,1,1
434,MelanieN,INeverCry,1,1
435,AutomaticStrikeout,INeverCry,1,1
436,Status,INeverCry,1,1
437,Garamond Lethe,INeverCry,1,1
438,Nyttend,INeverCry,1,1
439,Sphilbrick,INeverCry,1,1
440,Miniapolis,INeverCry,1,1
441,Jan eissfeldt,INeverCry,1,1
442,TBrandley,INeverCry,1,1
443,Someguy1221,INeverCry,1,1
444,Brambleberry of RiverClan,INeverCry,1,1
445,Érico Júnior Wouters,INeverCry,1,1
446,TParis,INeverCry,1,1
447,Kurtis,INeverCry,1,1
448,Boing! said Zebedee,INeverCry,1,1
449,Airplaneman,INeverCry,1,1
450,Vacation9,INeverCry,1,1
451,Diannaa,INeverCry,1,1
452,Kudpung,INeverCry,1,1
453,Webclient101,INeverCry,1,1
454,Inks.LWC,INeverCry,1,1
455,Hawkeye7,INeverCry,1,1
456,Bill william compton,INeverCry,1,1
457,Mohamed CJ,INeverCry,1,1
458,Evermore2,INeverCry,1,1
459,Andrew Gray,INeverCry,1,1
460,Tom Morris,INeverCry,1,1
461,Herbythyme,INeverCry,1,1
462,SilkTork,INeverCry,1,1
463,Secret,INeverCry,1,1
464,Pichpich,INeverCry,1,1
465,Ceoil,INeverCry,1,1
466,Wizardman,INeverCry,1,1
467,Mediran,INeverCry,1,1
468,OlEnglish,INeverCry,1,1
469,Mr. Stradivarius,INeverCry,1,1
470,Trusilver,INeverCry,1,1
471,Joe Decker,INeverCry,1,1
472,Doctree,INeverCry,1,1
473,Pratyya Ghosh,INeverCry,1,1
474,Forgot to put name,INeverCry,1,1
475,Addshore,INeverCry,1,1
476,Tryptofish,INeverCry,1,1
477,Ronhjones,INeverCry,1,1
478,The ed17,INeverCry,1,1
479,Antiquary,INeverCry,1,1
480,Retrolord,INeverCry,1,1
481,Garion96,INeverCry,1,1
482,Marcus Qwertyus,INeverCry,1,1
483,Tucoxn,INeverCry,1,1
484,It Is Me Here,INeverCry,1,1
485,PhilKnight,INeverCry,1,1
486,MONGO,INeverCry,1,1
487,Spencer,INeverCry,1,1
488,Tazerdadog,INeverCry,1,1
489,Espresso Addict,INeverCry,1,1
490,5 albert square,INeverCry,1,1
491,Ktr101,INeverCry,1,1
492,WereSpielChequers,INeverCry,1,1
493,GiantSnowman,INeverCry,1,1
494,Rogerd,INeverCry,1,1
495,Thumperward,INeverCry,1,1
496,Stalwart111,INeverCry,1,1
497,Trevj,INeverCry,1,1
498,Pharaoh of the Wizards,INeverCry,1,1
499,Malcolmxl5,INeverCry,1,1
500,Dainomite,INeverCry,1,1
501,99of9,INeverCry,1,1
502,Lankiveil,INeverCry,1,1
503,Go Phightins!,INeverCry,1,1
504,James086,INeverCry,1,1
505,Thine Antique Pen,INeverCry,1,1
506,Stephen,INeverCry,1,1
507,billinghurst,INeverCry,1,1
508,Glrx,INeverCry,1,1
509,Swarm,INeverCry,1,1
510,Sparklism,INeverCry,1,1
511,C678,INeverCry,1,1
512,Mlpearc,INeverCry,1,1
513,Dank,INeverCry,1,1
514,Adjwilley,INeverCry,1,1
515,Jusdafax,INeverCry,1,1
516,RP459,INeverCry,1,1
517,Cullen328,INeverCry,1,1
518,RegentsPark,INeverCry,1,1
519,Truthkeeper88,INeverCry,1,1
520,Kierzek,INeverCry,1,1
521,Bwilkins,INeverCry,-1,1
522,Axl,INeverCry,-1,1
523,Sven Manguard,INeverCry,-1,1
524,A.Savin,INeverCry,-1,1
525,SMcCandlish,INeverCry,-1,1
526,Inka 888,INeverCry,-1,1
527,Shadowjams,INeverCry,-1,1
528,Nathan Johnson,INeverCry,-1,1
529,Carrite,INeverCry,0,1
530,Dank,Jason Quinn,1,1
531,Pratyya Ghosh,Jason Quinn,1,1
532,AutomaticStrikeout,Jason Quinn,1,1
533,X!,Jason Quinn,1,1
534,Nouniquenames,Jason Quinn,1,1
535,Bzweebl,Jason Quinn,1,1
536,Rschen7754,Jason Quinn,1,1
537,Soap,Jason Quinn,1,1
538,Kusma,Jason Quinn,1,1
539,Filelakeshoe,Jason Quinn,1,1
540,Ultraexactzz,Jason Quinn,1,1
541,Kiefer.Wolfowitz,Jason Quinn,1,1
542,Rogerd,Jason Quinn,1,1
543,LlamaAl,Jason Quinn,1,1
544,Joe Decker,Jason Quinn,1,1
545,Miniapolis,Jason Quinn,1,1
546,Vao Tv1,Jason Quinn,1,1
547,MSGJ,Jason Quinn,1,1
548,Dainomite,Jason Quinn,1,1
549,Kumioko,Jason Quinn,1,1
550,Jebus989,Jason Quinn,1,1
551,QuiteUnusual,Jason Quinn,1,1
552,Carrite,Jason Quinn,1,1
553,Legoktm,Jason Quinn,1,1
554,Darkwind,Jason Quinn,1,1
555,Hex,Jason Quinn,1,1
556,Mediran,Jason Quinn,1,1
557,Staberinde,Jason Quinn,1,1
558,Ktr101,Jason Quinn,1,1
559,Newyorkbrad,Jason Quinn,1,1
560,Philosopher,Jason Quinn,1,1
561,RegentsPark,Jason Quinn,1,1
562,Ajraddatz,Jason Quinn,1,1
563,Pichpich,Jason Quinn,1,1
564,Spencer,Jason Quinn,1,1
565,Peridon,Jason Quinn,1,1
566,Calmer Waters,Jason Quinn,1,1
567,Erik,Jason Quinn,1,1
568,Resident Mario,Jason Quinn,1,1
569,Shudde,Jason Quinn,1,1
570,Doctree,Jason Quinn,1,1
571,Kurtis,Jason Quinn,1,1
572,WereSpielChequers,Jason Quinn,1,1
573,FeydHuxtable,Jason Quinn,1,1
574,C678,Jason Quinn,1,1
575,Till,Jason Quinn,1,1
576,Kablammo,Jason Quinn,1,1
577,NuclearWarfare,Jason Quinn,1,1
578,Wizardman,Jason Quinn,1,1
579,Salih,Jason Quinn,1,1
580,Dennis Brown,Jason Quinn,1,1
581,Trusilver,Jason Quinn,1,1
582,Hahc21,Jason Quinn,1,1
583,Tazerdadog,Jason Quinn,1,1
584,Salvio  giuliano,Jason Quinn,1,1
585,MJ94,Jason Quinn,1,1
586,Claritas,Jason Quinn,1,1
587,Nyttend,Jason Quinn,1,1
588,Martinp,Jason Quinn,1,1
589,Addshore,Jason Quinn,1,1
590,Status,Jason Quinn,1,1
591,My76Strat,Jason Quinn,1,1
592,Boing! said Zebedee,Jason Quinn,1,1
593,Happy-melon,Jason Quinn,1,1
594,Bishonen,Jason Quinn,1,1
595,Casliber,Jason Quinn,1,1
596,CaSJer,Jason Quinn,1,1
597,Garion96,Jason Quinn,1,1
598,Acalamari,Jason Quinn,1,1
599,Floquenbeam,Jason Quinn,1,1
600,Epbr123,Jason Quinn,1,1
601,Alanscottwalker,Jason Quinn,1,1
602,Nihonjoe,Jason Quinn,1,1
603,Lectonar,Jason Quinn,1,1
604,Ks0stm,Jason Quinn,1,1
605,Pedro,Jason Quinn,1,1
606,Useight's Public Sock,Jason Quinn,1,1
607,Juliancolton,Jason Quinn,1,1
608,Adjwilley,Jason Quinn,1,1
609,Atama,Jason Quinn,1,1
610,Moriori,Jason Quinn,1,1
611,Stephen,Jason Quinn,1,1
612,Ched,Jason Quinn,1,1
613,Reyk,Jason Quinn,1,1
614,Mark Arsten,Jason Quinn,1,1
615,Sluzzelin,Jason Quinn,1,1
616,C628,Jason Quinn,1,1
617,BuickCenturyDriver,Jason Quinn,1,1
618,Anthonyhcole,Jason Quinn,1,1
619,Keilana,Jason Quinn,1,1
620,The Anonymouse,Jason Quinn,1,1
621,Wehwalt,Jason Quinn,1,1
622,OlEnglish,Jason Quinn,1,1
623,Gerda Arendt,Jason Quinn,1,1
624,Steven Zhang,Jason Quinn,1,1
625,Ishdarian,Jason Quinn,1,1
626,The ed17,Jason Quinn,1,1
627,Nathan Johnson,Jason Quinn,1,1
628,Drmargi,Jason Quinn,1,1
629,Secret,Jason Quinn,1,1
630,GB fan,Jason Quinn,1,1
631,Airplaneman,Jason Quinn,1,1
632,28bytes,Jason Quinn,1,1
633,Gilderien,Jason Quinn,1,1
634,Hawkeye7,Jason Quinn,1,1
635,A. B.,Jason Quinn,1,1
636,Aircorn,Jason Quinn,1,1
637,Shawn in Montreal,Jason Quinn,1,1
638,Vacation9,Jason Quinn,1,1
639,Tryptofish,Jason Quinn,1,1
640,SilkTork,Jason Quinn,1,1
641,Hobit,Jason Quinn,1,1
642,Paul Erik,Jason Quinn,1,1
643,Guettarda,Jason Quinn,1,1
644,Andrew Gray,Jason Quinn,1,1
645,Nick-D,Jason Quinn,1,1
646,DaGizza,Jason Quinn,1,1
647,Brookie,Jason Quinn,1,1
648,Thumperward,Jason Quinn,1,1
649,Graham87,Jason Quinn,1,1
650,Risker,Jason Quinn,1,1
651,Inka 888,Jason Quinn,1,1
652,RayAYang,Jason Quinn,1,1
653,Collect,Jason Quinn,1,1
654,Malcolmxl5,Jason Quinn,1,1
655,AlexiusHoratius,Jason Quinn,1,1
656,Thingg,Jason Quinn,1,1
657,Chick Bowen,Jason Quinn,1,1
658,Lord Roem,Jason Quinn,1,1
659,Morning Sunshine,Jason Quinn,1,1
660,OrenBochman,Jason Quinn,1,1
661,Kim Dent-Brown,Jason Quinn,1,1
662,James086,Jason Quinn,1,1
663,MONGO,Jason Quinn,1,1
664,MZMcBride,Jason Quinn,1,1
665,Garamond Lethe,Jason Quinn,1,1
666,KillerChihuahua,Jason Quinn,1,1
667,Littleolive oil,Jason Quinn,1,1
668,Mephistophelian,Jason Quinn,-1,1
669,Inks.LWC,Jason Quinn,-1,1
670,Bwilkins,Jason Quinn,-1,1
671,Yunshui,Jason Quinn,-1,1
672,GiantSnowman,Jason Quinn,-1,1
673,MelbourneStar,Jason Quinn,-1,1
674,Thompson.matthew,Jason Quinn,-1,1
675,Reaper Eternal,Jason Quinn,-1,1
676,Kraxler,Jason Quinn,-1,1
677,INeverCry,Jason Quinn,-1,1
678,Brambleberry of RiverClan,Jason Quinn,-1,1
679,Someguy1221,Jason Quinn,-1,1
680,LemonTwinkle,Jason Quinn,-1,1
681,Anthony Bradbury,Jason Quinn,-1,1
682,Webclient101,Jason Quinn,-1,1
683,GregJackP,Jason Quinn,-1,1
684,Mkdw,Jason Quinn,-1,1
685,Pol430,Jason Quinn,-1,1
686,Mohamed CJ,Jason Quinn,-1,1
687,Bbb23,Jason Quinn,-1,1
688,JLDW,Jason Quinn,-1,1
689,Plutonium27,Jason Quinn,-1,1
690,5 albert square,Jason Quinn,-1,1
691,Jusdafax,Jason Quinn,-1,1
692,Retrolord,Jason Quinn,-1,1
693,Torreslfchero,Jason Quinn,-1,1
694,M.O.X,Jason Quinn,-1,1
695,Axl,Jason Quinn,-1,1
696,Swarm,Jason Quinn,-1,1
697,Master of Puppets,Jason Quinn,0,1
698,LuK3,Jason Quinn,0,1
699,ZappaOMati,Jason Quinn,0,1
700,Go Phightins!,Jason Quinn,0,1
701,Kudpung,Jason Quinn,0,1
702,John F. Lewis,Jason Quinn,0,1
703,Nsk92,Jason Quinn,0,1
704,SmokeyJoe,Jason Quinn,0,1
705,Richwales,Jason Quinn,0,1
706,Sparklism,Jason Quinn,0,1
707,,Jason Quinn,0,1
708,,Jason Quinn,0,1
709,TParis,Jason Quinn,0,1
710,Marcus Qwertyus,Jason Quinn,0,1
711,Ritchie333,Jason Quinn,0,1
712,JayJay,Jason Quinn,0,1
713,Jasper Deng,Legoktm,1,1
714,Rschen7754,Legoktm,1,1
715,Wizardman,Legoktm,1,1
716,Closedmouth,Legoktm,1,1
717,The Anonymouse,Legoktm,1,1
718,Emufarmers,Legoktm,1,1
719,Webclient101,Legoktm,1,1
720,Dainomite,Legoktm,1,1
721,Mabdul,Legoktm,1,1
722,MJ94,Legoktm,1,1
723,kelapstick,Legoktm,1,1
724,Jschnur,Legoktm,1,1
725,Hahc21,Legoktm,1,1
726,INeverCry,Legoktm,1,1
727,Kurtis,Legoktm,1,1
728,Tolly4bolly,Legoktm,1,1
729,Mr. Stradivarius,Legoktm,1,1
730,Ymblanter,Legoktm,1,1
731,Kiefer.Wolfowitz,Legoktm,1,1
732,C678,Legoktm,1,1
733,Ankit Maity,Legoktm,1,1
734,Dennis Brown,Legoktm,1,1
735,Reaper Eternal,Legoktm,1,1
736,069952497a,Legoktm,1,1
737,Stfg,Legoktm,1,1
